State,%,#
Massachusetts,3.3,36000
District of Columbia,4.9,5000
Hawaii,5.3,10000
Vermont,5.6,6000
Minnesota,6.8,55000
Kentucky,8.1,58000
Rhode Island,8.2,15000
Colorado,8.7,66000
Wisconsin,9,75000
Connecticut,9.3,44000
Iowa,9.3,35000
Pennsylvania,9.6,170000
New York,10.3,268000
North Dakota,10.7,9000
New Mexico,10.8,36000
New Hampshire,10.9,25000
Delaware,11.1,15000
New Hampshire,10.9,25000
Delaware,11.1,15000
New Jersey,11.3,115000
Maryland,11.3,79000
South Dakota,11.8,12000
Ohio,11.9,214000
Washington,11.9,127000
West Virginia,11.9,37000
Michigan,12.5,174000
California,13.3,675000
Maine,13.3,28000
Illinois,13.9,211000
Oregon,14.5,106000
Virginia,14.6,174000
Alaska,14.9,14000
North Carolina,15,224000
Nebraska,15.3,38000
Arizona,15.9,147000
Indiana,16.1,165000
Louisiana,17.7,119000
Utah,17.7,78000
Oklahoma,17.7,94000
Arkansas,18.1,83000
Kansas,18.5,66000
Montana,18.6,31000
Nevada,19,77000
Georgia,19.2,254000
Alabama,19.3,136000
Idaho,19.3,48000
Mississippi,20.4,79000
Wyoming,20.7,18000
Florida,21,533000
Missouri,22.5,183000
Texas,23.3,731000
,,
,,